,Name,Birthday,Age,Occupation,Bio,Also Viewed
16,Morgan Freeman,"June 01, 1937",87,actor,"Won an Academy Award for Best Supporting Actor for his role in the Clint Eastwood film Million Dollar Baby in 2005. He is also recognized for his roles in such films as The Shawshank Redemption, Glory, Unforgiven, Bruce Almighty, The Dark Knight, The Sum of All Fears and Dolphin Tale.","['Tim Robbins', 'Clint Eastwood', 'Brad Pitt']"
17,Hillary Clinton,"October 26, 1947",77,lawyer,"Former First Lady, U.S. Senator, Secretary of State, and 2016 Democratic presidential nominee.","['Bill Clinton', 'Barack Obama', 'Nancy Pelosi']"
18,Lady Gaga,"March 28, 1986",39,record_producer,"Born Stefani Joanne Angelina Germanotta, she became the first recording artist in history to have three singles sell over four million copies each online. Her best known songs include ""Judas,"" ""Bad Romance"" and Shallow. In 2018, she starred as Ally in the remake of A Star is Born alongside Bradley Cooper.","['Bradley Cooper', 'Beyoncé', 'Tony Bennett']"
19,Justin Bieber,"March 01, 1994",31,musician,"Pop sensation who propelled to fame after his 2010 YouTube single ""Baby"" became an international hit. His first album, My World 2.0, debuted at number one on the U.S. Billboard 200 and went on to sell over five million copies worldwide. Subsequently, his next three studio albums debuted at number one on the U.S. Billboard 200, making him one of the world's best-selling music artists.","['Hailey Bieber', 'Selena Gomez', 'Shawn Mendes']"
20,Johnny Depp,"June 09, 1963",61,actor,"Actor who starred as Captain Jack Sparrow in the Pirates of the Caribbean film franchise and also played leading roles in the films Edward Scissorhands, Ed Wood, Donnie Brasco, Blow, and What's Eating Gilbert Grape. He won a Golden Globe Award for Best Actor for his role in Sweeney Todd: The Demon Barber of Fleet Street.","['Orlando Bloom', 'Helena Bonham Carter', 'Amber Heard']"
21,Sylvester Stallone,"July 06, 1946",78,screenwriter,"Director, actor and screenwriter best known for playing Italian-American boxer Rocky Balboa in the 1976 film Rocky. He reprised the role in six sequels, released from 1979 to 2015. He also portrayed John Rambo in the Rambo film franchise and played leading roles in the films Cliffhanger, The Expendables, Cop Land and Spy Kids 3-D: Game Over.","['Arnold Schwarzenegger', 'Dolph Lundgren', 'Carl Weathers']"
22,Sandra Bullock,"July 26, 1964",60,film_producer,"Actress who won an Academy Award for her leading role in the 2009 film The Blind Side. She has also played starring roles in the films Speed, Gravity, The Proposal, Miss Congeniality, Crash and Bird Box.","['Keanu Reeves', 'Ryan Reynolds', 'Melissa McCarthy']"
23,Kanye West,"June 08, 1977",47,record_producer,"One of the best-selling and most awarded artists of all time, he has received 24 Grammy Awards over the course of his music career. He was ranked the 3rd top producer of the decade in 2010 by Billboard. He's received praise for such albums as The College Dropout, Graduation, My Beautiful Dark Twisted Fantasy and Yeezus. He legally changed his name to Ye in 2021.","['Taylor Swift', 'Kim Kardashian', 'North West']"
24,Samuel L. Jackson,"December 21, 1948",76,Actor,"Prolific actor known for roles in Pulp Fiction, Marvel films, and collaborations with Quentin Tarantino.","['Denzel Washington', 'Bruce Willis', 'Morgan Freeman']"
25,Shaquille O'Neal,"March 06, 1972",53,basketball_player,"Retired NBA star, 4-time champion, and media personality known for his dominance and charisma.","['Kobe Bryant', 'Charles Barkley', 'LeBron James']"
26,Queen Elizabeth II,"April 21, 1926",96,Monarch,"The longest-reigning British monarch, serving from 1952 until her death in 2022.","['Prince Philip', 'Princess Diana', 'King Charles']"
27,Mariah Carey,"March 27, 1970",55,record_producer,"Pop artist who gained fame for hits like ""Vision of Love,"" ""Touch My Body"" and ""Shake It Off."" She became Colombia Records' top recording artist in the early 1990s and her 1995 single ""One Sweet Day"" with Boyz II Men set a record by spending 16 weeks at the top of the Billboard Hot 100 chart.","['Nick Cannon', 'Whitney Houston', 'Jennifer Lopez']"
28,Robert Downey Jr.,"April 04, 1965",59,actor,Actor known for his comeback as Iron Man in the Marvel Cinematic Universe after overcoming personal struggles.,"['Chris Evans', 'Scarlett Johansson', 'Tom Holland']"
29,Justin Timberlake,"January 31, 1981",44,actor,"Pop star and actor who first gained notoriety as a member of the boy band NSYNC. After the band broke up, he launched a solo career that has included the #1 singles ""SexyBack"" and ""My Love."" As an actor, he has played prominent roles in such films as The Social Network, Bad Teacher and Friends with Benefits.","['Britney Spears', 'Jessica Biel', 'NSYNC']"
30,Chuck Norris,"March 10, 1940",85,actor,"Martial arts star of TV's Walker, Texas Ranger, who became an internet sensation in 2005 with memes based on exaggerated feats of combat.","['Arnold Schwarzenegger', 'Bruce Lee', 'Sylvester Stallone']"
31,Jackie Chan,"April 07, 1954",70,actor,"Actor, choreographer, and stuntman whose notable films include the Rush Hour trilogy, Enter the Dragon, Shanghai Noon, and The Karate Kid. He grew popular through his mix of comedy and stunts, most of which he performed himself, and has also worked as a director and producer, martial artist, and Mandopop singer.","['Rowan Atkinson', 'Tom Hanks', 'John Travolta']"
32,Joe Biden,"November 20, 1942",82,lawyer,Longtime politician who became the 46th president of the United States in 2021. He served as vice president of the United States for two terms under President Barack Obama. He was also the US Senator from Delaware for 36 years.,"['Barack Obama', 'Sarah Palin', 'Dick Cheney']"
33,Jennifer Lopez,"July 24, 1969",55,singer,"Hip-hop and R&B superstar better known as J-Lo who has sold over 80 million records worldwide. She released her debut album, On the 6, in 1999 and followed it up with the certified quadruple platinum album J.Lo in 2001. Her best known songs include ""Waiting for Tonight,"" ""If You Had My Love,"" ""Love Don't Cost a Thing"" and ""Jenny from the Block.""","['Ben Affleck', 'Shakira', 'Marc Anthony']"
34,Angelina Jolie,"June 04, 1975",49,actor,"Won an Academy Award for Best Supporting Actress for her role in the 1999 film Girl, Interrupted. She played lead roles in the films Maleficent, Salt, Changeling, Lara Croft: Tomb Raider, and Mr. & Mrs. Smith and directed the 2014 film Unbroken. In 2019, she was cast as superhero Thena in the Marvel film The Eternals.","['Johnny Depp', 'Brad Pitt', 'Ethan Hawke']"
35,Dwayne Johnson,"May 02, 1972",52,wrestler,"Initially gained fame as the wrestler The Rock, competing in the WWF and WWE from 1996 to 2004. He then became a widely popular actor, starring in such films as Hercules, San Andreas and the Fast and the Furious franchise.","['John Cena', 'Randy Orton', 'Madison Pettis']"
36,Tom Hanks,"July 09, 1956",68,film_producer,"Legendary actor who won back-to-back Academy Awards for Best Actor for his roles in Philadelphia in 1993 and Forrest Gump in 1994. He has starred in many other classics, including Cast Away, The Green Mile, Saving Private Ryan, and Apollo 13. In 2019, he was cast as Mr. Rogers in the biopic A Beautiful Day in the Neighborhood.","['Steven Spielberg', 'Chester Hanks', 'Colin Hanks']"
37,Betty White,"January 17, 1922",103,comedian,"Beloved comedic actress from The Mary Tyler Moore Show and The Golden Girls who later hosted Betty White's Off Their Rockers and starred in Hot in Cleveland. She won six Emmy Awards and, in 2009, she received the Screen Actors Guild Life Achievement Award.","['Bea Arthur', 'Rue McClanahan', 'Cloris Leachman']"
38,Nicolas Cage,"January 07, 1964",61,actor,"Longtime actor who won the Academy Award for Best Actor in 1995 for his role in Leaving Las Vegas. He has also starred in such films as Gone in 60 Seconds, The Rock, National Treasure, Adaptation and Kick-Ass.","['Matt Dillon', 'Lisa Presley', 'Patricia Arquette']"
39,Miley Cyrus,"November 23, 1992",32,actor,"After becoming a child television star playing the title character on the hit Disney series Hannah Montana, she went on to become an international pop star with such hit songs as ""Party in the U.S.A."" and ""Wrecking Ball."" In 2017, she served as a coach on The Voice.","['Billy Ray Cyrus', 'Liam Hemsworth', 'Dolly Parton']"
40,Brad Pitt,"December 18, 1963",61,actor,"Hollywood star who played lead roles in the films Moneyball, Fight Club, The Curious Case of Benjamin Button, World War Z, and Inglourious Basterds. He also played Rusty Ryan in the Ocean's Eleven trilogy. He won an Academy Award for Best Supporting Actor for his role as Cliff Booth in the 2019 film Once Upon a Time in Hollywood.","['Angelina Jolie', 'Jennifer Aniston', 'George Clooney']"
41,Beyoncé,"September 04, 1981",43,singer,"Grammy-winning singer, performer, and entrepreneur known for her powerful vocals and influence in pop culture.","['Jay-Z', 'Kelly Rowland', 'Rihanna']"
42,Mark Zuckerberg,"May 14, 1984",40,programmer,"Programmer and businessman who co-founded Facebook, a social networking website, at age 20 and took it public in 2012.","['Bill Gates', 'Jesse Eisenberg', 'Jack Dorsey']"
43,John Travolta,"February 18, 1954",71,actor,"Actor who starred in the 1970s hit films Saturday Night Fever and Grease. He later went on to play Vincent Vega in the critically acclaimed 1994 film Pulp Fiction and he also starred in Get Shorty, Ladder 49, Wild Hogs, Hairspray, and Swordfish.","['Nicolas Cage', 'Kelly Preston', 'Robert Shapiro']"
44,Bill Cosby,"July 12, 1937",87,actor,"Stand-up comedian who became known for starring on his own sitcom The Cosby Show, which aired from 1984 to 1992. He later created the comedy series Fat Albert and the Cosby Kids.","['Bryan Cranston', 'Bruce Willis', 'Billy Porter']"
45,Oprah Winfrey,"January 29, 1954",71,media_proprietor,"Television host and producer who was named the most influential woman in the world by TIME magazine and hosted The Oprah Winfrey Show, the highest-rated syndicated program on air, from 1986 to 2011.","['Ellen Degeneres', 'Mehmet Oz', 'Gayle King']"
46,Robert De Niro,"August 17, 1943",81,actor,Legendary actor who won an Academy Award for Best Actor for his role as Jake LaMotta in the 1980 boxing film Raging Bull and an Academy Award for Best Supporting Actor for his role as Vito Corleone in the 1974 classic The Godfather Part II.,"['Ben Stiller', 'Al Pacino', 'Ashley Judd']"
47,Clint Eastwood,"May 31, 1930",94,actor,"First gained fame as an iconic actor in such classic Western films as A Fistful of Dollars and The Good, the Bad and the Ugly and as Detective Harry Callahan in the Dirty Harry franchise. He later became a renowned director, receiving the Academy Awards for Best Director and Best Picture for his films Unforgiven and Million Dollar Baby.","['Scott Eastwood', 'Frances Fisher', 'Francesca Eastwood']"
48,Mark Wahlberg,"June 05, 1971",53,film_producer,"Actor who has played starring roles in such films as Boogie Nights, The Fighter, Ted, Transformers: Age of Extinction, Daddy's Home and Lone Survivor. He also served as executive producer of the hit HBO series Entourage and Boardwalk Empire.","['Will Ferrell', 'Donnie Wahlberg', 'Ella Wahlberg']"
49,Celine Dion,"March 30, 1968",57,singer,"Pop and dance artist known for singing the theme from Titanic, ""My Heart Will Go On."" She won the Chopard Diamond Award for selling over 200 million albums.","['Jennifer Lopez', 'Mariah Carey', 'Janet Jackson']"
